id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,N_tokens,log_N_tokens,N_sentences,log_N_sentences,n_nodes,n_edges,network_density,average_clustering,modularity,average_shortest_path_largest_component
PG1036,Joe Wilson and His Mates,"Lawson, Henry",1867.0,1922.0,['en'],145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105429.0,11.565793019559685,4692.0,8.453614209773367,28.0,31.0,0.082010582010582,0.026628705423670695,0.5252675386444708,3.0952380952380953
PG10370,Sustained honor: The Age of Liberty Established,"Musick, John R. (John Roy)",1849.0,1901.0,['en'],97,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115279.0,11.655110556104205,4895.0,8.49596955496461,55.0,68.0,0.04579124579124579,0.00528888931478769,0.41363525390625,3.626936026936027
PG10372,Bunch Grass: A Chronicle of Life on a Cattle Ranch,"Vachell, Horace Annesley",1861.0,1955.0,['en'],93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110990.0,11.617195386146026,6412.0,8.765926513729443,35.0,38.0,0.06386554621848739,0.06809733536331852,0.6231508875739645,3.794957983193277
PG10374,The Ramblin' Kid,"Bowman, Earl Wayland",1875.0,1952.0,['en'],68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91105.0,11.41976796648398,4301.0,8.366602832783736,30.0,45.0,0.10344827586206896,0.030619199300319238,0.28782755705832624,2.6
PG10375,England's Antiphon,"MacDonald, George",1824.0,1905.0,['en'],62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98554.0,11.498359900290913,4596.0,8.432941638968646,5.0,4.0,0.4,0.0,0.21875,1.8
PG10379,At love's cost,"Garvice, Charles",1850.0,1920.0,['en'],83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185528.0,12.130961093035046,8152.0,9.00601857490256,51.0,88.0,0.06901960784313725,0.016294108294639103,0.1930736075378396,2.6015686274509804
PG10380,Bible Stories and Religious Classics,"Wells, Philip P. (Philip Patterson)",1868.0,1929.0,['en'],85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191470.0,12.162486417367251,6397.0,8.763584409450138,72.0,85.0,0.03325508607198748,0.04248278703887926,0.7440131432390286,4.920970266040689
PG10387,A Century Too Soon: The Age of Tyranny,"Musick, John R. (John Roy)",1849.0,1901.0,['en'],104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99164.0,11.504530324181847,4266.0,8.358431899031295,30.0,51.0,0.11724137931034483,0.033541894400452646,0.47657644259369425,2.5540229885057473
PG10391,The Wolf's Long Howl,"Waterloo, Stanley",1846.0,1913.0,['en'],63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77639.0,11.259825157241215,3519.0,8.165932137321585,7.0,6.0,0.2857142857142857,0.0,0.125,1.9047619047619047
PG103,Around the World in Eighty Days,"Verne, Jules",1828.0,1905.0,['en'],3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78046.0,11.265053675431062,3223.0,8.078067881815437,18.0,22.0,0.1437908496732026,0.0684252764866205,0.04781065088757397,1.9411764705882353
PG10402,A Man and His Money,"Isham, Frederic Stewart",1866.0,1922.0,['en'],74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74311.0,11.21601426819998,4523.0,8.416930769477844,11.0,11.0,0.2,0.036097365578134366,0.091796875,2.0727272727272728
PG10410,The Powers and Maxine,"Williamson, C. N. (Charles Norris)",1859.0,1920.0,['en'],71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86879.0,11.372271624972607,3944.0,8.279950715722526,22.0,30.0,0.12987012987012986,0.05343975713427343,0.49703320287842445,2.593073593073593
PG10432,Aunt Jane's Nieces out West,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64881.0,11.080310101740798,3070.0,8.029432840581244,26.0,57.0,0.1753846153846154,0.09681041396642559,0.2522437673130194,2.316923076923077
PG10433,A Flock of Girls and Boys,"Perry, Nora",1831.0,1896.0,['en'],119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77814.0,11.262076642563796,3052.0,8.023552392404348,59.0,90.0,0.052600818234950324,0.03624546376185237,0.6488834171197974,3.7007597895967272
PG10438,Up the Hill and Over,"Mackay, Isabel Ecclestone",1875.0,1928.0,['en'],58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120372.0,11.698342226671485,7936.0,8.979164648964709,37.0,62.0,0.09309309309309309,0.033127646335072744,0.18214017639331956,2.5495495495495497
PG10440,Tutt and Mr. Tutt,"Train, Arthur Cheney",1875.0,1945.0,['en'],56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78914.0,11.276113930890599,3785.0,8.23880116587155,53.0,57.0,0.041364296081277216,0.03050837670418239,0.47820557289860094,3.0457184325108853
PG10446,"The Green Flag, and Other Stories of War and Sport","Doyle, Arthur Conan",1859.0,1930.0,['en'],77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91966.0,11.429174222507731,4240.0,8.352318548226004,7.0,6.0,0.2857142857142857,0.0,0.1796875,1.9047619047619047
PG10449,Burnham Breaker,"Greene, Homer",1853.0,1940.0,['en'],37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128923.0,11.76697060590374,5858.0,8.675563527387679,29.0,44.0,0.10837438423645321,0.049555314904383814,0.3060628195763331,2.37192118226601
PG10452,Peter's Mother,"De La Pasture, Henry, Mrs.",1866.0,1945.0,['en'],47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100012.0,11.513045457770804,4491.0,8.409830673087738,22.0,43.0,0.18614718614718614,0.04284909057723239,0.16878288042403386,2.186147186147186
PG10473,The Heart of the Range,"White, William Patterson",1884.0,,['en'],126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,117350.0,11.67291620127917,7790.0,8.960596138864794,67.0,105.0,0.04748982360922659,0.0317606726754099,0.164277720385675,2.3912256897331523
